Temp(K)	7.64-11.2	11.2-13.6	13.6-16.3	16.3-21.56	21.56-24.6	24.6-30.65	30.65-35.1	35.1-40.96	40.96-47.89	47.89-54.4	54.4-64.5	64.5-77.0	
9750.0	0.05310298915585208	3.991723540810709e-06	4.862587612116188e-10	3.581043434525962e-12	2.1072368362893875e-16	6.875991664512814e-19	3.721542779991472e-24	1.7485574414426633e-27	7.16425746990517e-32	3.3415973807477558e-46	5.50954558072667e-46	6.902242205766097e-46	
10000.0	0.06734037480415617	7.290697308250771e-06	8.253045001628533e-10	7.068482787514965e-12	5.809449887984388e-16	2.0875196302004867e-18	1.6884380796190312e-23	1.0298609844622716e-26	5.964845453466673e-31	-0.0	-0.0	-0.0	
10250.0	0.08099693130272079	1.294825337660577e-05	1.4645977126225065e-09	1.4728800749088607e-11	1.6771741801908243e-15	6.5022756924578304e-18	7.535003437326067e-23	5.768628237890497e-26	4.515767367800178e-30	-0.0	-0.0	-0.0	
10500.0	0.09410222489821064	2.3503785722594733e-05	2.5678817588020092e-09	3.01110278482948e-11	4.643180547737511e-15	1.8765443225627632e-17	3.007389866056878e-22	2.830372196236263e-25	2.9207119885172274e-29	2.0347853816267504e-34	-0.0	-0.0	
10750.0	0.10666605804885845	4.658344082674863e-05	4.369530852944518e-09	5.910916317119701e-11	1.2140707716756306e-14	4.9137283868431205e-17	1.0581722745590158e-21	1.2033262159982165e-24	1.598842092319158e-28	2.7037317060448218e-33	-0.0	-0.0	
11000.0	0.11862411938833817	0.0001077538859459817	7.24311974245143e-09	1.1232700721130181e-10	3.042618622105881e-14	1.1861890830054395e-16	3.332108294789616e-21	4.485508539710735e-24	7.458142787031121e-28	1.7380466269374006e-32	-0.0	-0.0	
11250.0	0.13002152975590162	0.0002667435504822114	1.1746101150019943e-08	2.0769604421941763e-10	7.337543159432465e-14	2.6620134826057193e-16	9.46473837493442e-21	1.4800031776144487e-23	3.0172130950557745e-27	9.091280790847872e-32	-0.0	-0.0	
11500.0	0.14091071605034308	0.0006060627229330603	1.8491525245716544e-08	3.7105317335183385e-10	1.7087793215371e-13	5.547304628830785e-16	2.4382070471907036e-20	4.3765805352808486e-23	1.0758301147653813e-26	4.059040641831803e-31	-0.0	-0.0	
11750.0	0.15130097908761	0.0012021564175452252	2.8820373462328068e-08	6.585366469222954e-10	3.944755586183293e-13	1.1078658023571378e-15	5.91891118875808e-20	1.2014300248301565e-22	3.476127786790648e-26	1.5987549174914975e-30	1.2993562958974652e-34	-0.0	
12000.0	0.16133636211968114	0.0021067095654455237	4.5089207437874063e-08	1.1695855842609118e-09	9.012017262267673e-13	2.1663543073511327e-15	1.3770836701828076e-19	3.110029241269809e-22	1.038478686057916e-25	5.73157210753925e-30	8.577950056850361e-34	-0.0	
12250.0	0.17097633505135623	0.003340630408459524	6.954550520700642e-08	2.038286193244709e-09	2.0060294336604903e-12	4.129724160894359e-15	3.050070724410406e-19	7.561200036308911e-22	2.8720811689787605e-25	1.8671027990905886e-29	3.550386860390225e-33	-0.0	
12500.0	0.1803316384159913	0.004917687042626744	1.0589396052918575e-07	3.5139162479155903e-09	4.371059268000833e-12	7.737452385199256e-15	6.548140303023608e-19	1.7681825477561996e-21	7.537686990796148e-25	5.657381931206347e-29	1.2571711325780297e-32	-0.0	
12750.0	0.18936697527485158	0.006822068829743772	1.6285908804717107e-07	6.081427303930507e-09	9.396551877702457e-12	1.4675273717766646e-14	1.4173414835659503e-18	4.128729578432214e-21	1.9360010481535287e-24	1.63681803870206e-28	4.1465323328438833e-32	-0.0	
13000.0	0.198127517030767	0.009033293752160372	2.489627612017673e-07	1.0389111211218313e-08	1.9628144883013368e-11	2.848506071346215e-14	3.1172057066538502e-18	9.67703094344306e-21	4.8797164648308066e-24	4.555200861775355e-28	1.2889141361355825e-31	-0.0	
14000.0	0.23038117344593687	0.020558642850095902	1.2182659336366414e-06	7.490492112686098e-08	2.717494761879462e-10	4.497710376483842e-13	8.706410271421961e-17	3.611835647490638e-19	2.3867742254227114e-22	2.7608004203433795e-26	9.385607306069032e-30	1.6377729775148468e-35	
15000.0	0.25796047653049115	0.03528158744359106	4.8617034486117105e-06	4.0461341193122056e-07	2.3412430900838443e-09	5.89468555689451e-12	2.2916094053004778e-15	1.455586454899358e-17	1.5996661135529333e-20	2.972982554342777e-24	1.2649816237651443e-27	7.134313023672759e-33	
16000.0	0.280770853447215	0.051848425454282504	1.573277822557759e-05	1.680236297357278e-06	1.3989484746308179e-08	3.83173848521126e-11	2.6985002240898378e-14	2.550689692757432e-16	4.834895577307779e-19	1.7682804245432524e-22	1.3099150174953067e-25	1.612279445325239e-30	
17000.0	0.29925734821623906	0.06937678067170847	4.118827476576509e-05	5.405374210048841e-06	6.250703790770824e-08	1.729747347383578e-10	1.9174728482653342e-13	2.455453792077795e-15	7.073647456956966e-18	4.429284091940044e-21	4.675144650153943e-24	1.3178554893751318e-28	
